ID,Language,Subscription Type,Subscription Event Type,Purchase Store,Purchase Amount,Currency,Subscription Start Date,Subscription Expiration,Days in Subscription,Longterm(1) Short Term(0),Demo User,Free Trial User,Free Trial Start Date,Free Trial Expiration,Auto Renew,Auto Renew On (1) Off (0),Country,User Type,Lead Platform,Email Subscriber,Subscriber(1) not (0),Push Notifications,Send Count,Open Count,Click Count,Unique Open Count,Unique Click Count,Open Rate,Click Through Rate
2,EBR,Limited,INITIAL_PURCHASE,Web,39,USD,11/28/2019,2/28/2020,92.00,0.00,No,No,NULL,NULL,Off,0,Other,Consumer,Web,No,0,Yes,4,3,0,1,0,25%,0%
6,ESP,Limited,INITIAL_PURCHASE,Web,38.34,USD,8/23/2019,11/23/2019,92.00,0.00,Yes,No,NULL,NULL,Off,0,US/Canada,Consumer,App,Yes,1,Yes,162,1,0,1,0,1%,0%
7,ESP,Limited,RENEWAL,Web,79,USD,7/21/2019,11/11/2019,113.00,0.00,Yes,No,NULL,NULL,Off,0,Other,Consumer,App,Yes,1,Yes,2,0,0,0,0,0%, 
8,DEU,Limited,INITIAL_PURCHASE,Web,38.4,USD,3/7/2020,6/7/2020,92.00,0.00,Yes,No,NULL,NULL,On,1,US/Canada,Consumer,App,Yes,1,Yes,25,17,4,7,2,28%,12%
9,DEU,Limited,INITIAL_PURCHASE,Web,43.16,USD,3/3/2020,6/8/2020,97.00,0.00,No,Yes,3/3/2020,3/6/2020,On,1,Europe,Consumer,Web,No,0,Yes,52,11,0,5,0,10%,0%
12,ESP,Limited,INITIAL_PURCHASE,Web,35.97,USD,10/17/2019,1/21/2020,96.00,0.00,No,Yes,10/17/2019,10/20/2019,Off,0,US/Canada,Consumer,Web,Yes,1,Yes,94,0,0,0,0,0%, 
14,ALL,Limited,INITIAL_PURCHASE,Web,143.76,USD,3/25/2020,3/25/2022,730.00,1.00,No,No,NULL,NULL,On,1,US/Canada,Consumer,Web,Yes,1,Yes,174,37,6,28,2,16%,5%
22,ENG,Limited,INITIAL_PURCHASE,Web,39.5,USD,12/24/2019,3/24/2020,91.00,0.00,Yes,No,NULL,NULL,Off,0,US/Canada,Consumer,App,Yes,1,Yes,8,2,0,1,0,13%,0%
29,ENG,Limited,INITIAL_PURCHASE,Web,35.97,USD,9/21/2019,12/21/2019,91.00,0.00,Yes,No,NULL,NULL,Off,0,Other,Consumer,Web,Yes,1,Yes,316,243,4,120,1,38%,0%
40,ITA,Limited,RENEWAL,Web,35.97,USD,10/1/2019,7/1/2020,274.00,1.00,No,No,NULL,NULL,On,1,Other,Other,Unknown,No,0,No,3,1,0,1,0,33%,0%
42,ESP,Limited,INITIAL_PURCHASE,Web,38.89,USD,1/27/2020,4/30/2020,94.00,0.00,No,Yes,1/27/2020,1/30/2020,Off,0,US/Canada,Consumer,Web,Yes,1,Yes,19,11,4,7,2,37%,18%
